File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
12893,FFT1DOnce,872,tau_c,1.0543763071957952,15.000000000000004,8.53e-14,Masked,53
361997,TwiddleOneCol,709,tomega_r,-0.5208453039085534,0.9375000000000001,8.53e-14,Masked,53
63964,TwiddleOneCol,715,tx,-0.25,-0.2182840359569668,1.137e-13,Masked,49
533901,CopyColumn,819,dest,-0.35197141362869466,0.9375,0.3519714136286325,SDC,53
370559,TwiddleOneCol,710,tomega_c,1.1741966011483268e+308,inf,nan,DUE,61
186239,FFT1DOnce,874,x_c,nan,nan,nan,DUE,61
82111,FFT1DOnce,878,x1,nan,nan,nan,DUE,61
294267,FFT1DOnce,870,x_c,0.03125,-0.008960196732338223,2.558e-13,Masked,45
184923,Reverse,832,x,-0.015625,0.014912830169455223,2.84e-14,Masked,45
203053,FFT1DOnce,869,x_r,-36.240126462414416,-14.999999999999998,4.263e-13,Masked,53
526795,Transpose,803,dest,0.0009765625,0.015417415051167655,0.0009765625000853,Masked,45
417919,FFT1DOnce,874,x_c,-127.04475516144157,1.0,0.992537149698677,SDC,61
355755,FFT1DOnce,873,x_r,0.125,-0.014073571829332575,8.53e-14,Masked,45
291835,FFT1DOnce,874,x_c,-0.03125,0.013327749710605024,2.842e-13,Masked,45
28366,FFT1DOnce,867,omega_r,0.7071106771981701,-1.0,5.68e-14,Masked,57
168331,FFT1DOnce,871,tau_r,-0.00390625,0.008494442791865106,8.53e-14,Masked,45
225852,FFT1DOnce,878,x1,-0.25,0.19391076777164387,2.842e-13,Masked,49
193727,FFT1DOnce,874,x_c,1.4192028213221118e+308,inf,nan,DUE,61
251966,Transpose,804,dest,-1.3989390948807305e+20,-1.8446744073709552e+19,256.05303764819547,SDC,57
97372,FFT1DOnce,872,tau_c,0.0625,0.23632859076955529,0.0625000000000568,SDC,49
141902,Transpose,803,dest,-0.6433777213595162,1.0,0.0,Masked,57
480591,FFT1DOnce,867,omega_r,6.879428036984217e+307,1.7976931348623157e+308,nan,DUE,61
518907,FFT1DOnce,874,x_c,-0.0625,0.0132017000028773,0.0,Masked,45
495436,FFT1DOnce,867,omega_r,0.125,-0.1352986647917803,5.68e-14,Masked,49
259437,CopyColumn,819,dest,-1.2292077017467555,0.9375,8.53e-14,Masked,53
40718,Reverse,832,x,-0.9188981827426552,1.0,0.9188981827425948,SDC,57
343996,FFT1DOnce,870,x_c,-1.0,-0.1431835401067837,1.99e-13,Masked,49
312428,FFT1DOnce,877,x1,4.0,0.16356252465145882,0.0,Masked,49
370411,TwiddleOneCol,714,tx,-0.5,0.009487901277381031,2.84e-14,Masked,45
531131,Transpose,804,dest,0.00390625,0.010204014614664877,0.0039062500000853,Masked,45
160717,FFT1DOnce,875,x2,-57.601833538729615,-15.0,3.695e-13,Masked,53
315147,FFT1DOnce,867,omega_r,0.015625,0.015625,2.274e-13,Masked,45
98491,FFT1DOnce,870,x_c,-0.00390625,0.01113608671135845,0.0039062499999432,Masked,45
128507,TwiddleOneCol,710,tomega_c,-0.00048828125,-0.009952644868178703,1.137e-13,Masked,45
414301,FFT1DOnce,876,x2,-33.86815579056127,0.9375000000000001,8.53e-14,Masked,53
165631,FFT1DOnce,870,x_c,2.5040871523285236e+307,1.7976931348623151e+308,nan,DUE,61
317982,FFT1DOnce,876,x2,-2.6456462241027883e+20,-1.8446744073709552e+19,382.1617579809271,SDC,57
278189,FFT1DOnce,873,x_r,-111.70087093421358,0.9375,27.925217733553893,SDC,53
522238,FFT1DOnce,878,x1,-3.267157869339187e+20,-1.8446744073709552e+19,68.96725496860034,SDC,57
56430,TwiddleOneCol,711,tx_r,-0.1534223688624908,1.0,0.0,Masked,57
211375,FFT1DOnce,873,x_r,2.606431498138499,-1.0,1.137e-13,Masked,61
180173,FFT1DOnce,867,omega_r,3.4436297843e-06,-0.9374999999880894,1.99e-13,Masked,53
277052,FFT1DOnce,874,x_c,0.5,0.24833152044348955,7.39e-13,Masked,49
